text	question	A	B	C	D	E	answer	reason
El trabajo es en primer término un proceso entre la naturaleza y el hombre, proceso en que este realiza, regula y controla mediante su propia acción su intercambio de materias con la naturaleza. En este proceso, el hombre se enfrenta como un poder natural con la materia de la naturaleza. Pone en acción las fuerzas naturales que forman su corporeidad, los brazos y las piernas, la cabeza y la mano, para de ese modo asimilarse, bajo una forma útil para su propia vida, las materias que la naturaleza le brinda. Y a la par que de ese modo actúa sobre la naturaleza exterior a él y la transforma, transforma su propia naturaleza, desarrollando las potencias que dormitan en él y sometiendo el juego de sus fuerzas a su propia disciplina. Aquí no vamos a ocuparnos de las primeras formas de trabajo, formas instintivas y de tipo animal. Aquí, partimos del supuesto del trabajo plasmado ya bajo una forma en la que pertenece exclusivamente al hombre. Una araña ejecuta operaciones que semejan a las manipulaciones del tejedor, y la construcción de los panales de las abejas podría avergonzar, por su perfección, a más de un maestro de obras. Pero, hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro. Al final del proceso de trabajo, brota un resultado que antes de comenzar el proceso existía ya en la mente del obrero; es decir, un resultado que tenía ya existencia ideal. El obrero no se limita a hacer cambiar de forma la materia que le brinda la naturaleza, sino que, al mismo tiempo, realiza en ella su fin, fin que él sabe que rige como una ley las modalidades de su actuación y al que tiene necesariamente que supeditar su voluntad. Y esta supeditación no constituye un acto aislado. Mientras permanezca trabajando, además de esforzar los órganos que trabajan, el obrero ha de aportar esa voluntad consciente del fin a que llamamos atención, atención que deberá ser tanto más reconcentrada cuanto menos atractivo sea el trabajo, por su carácter o por su ejecución, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.	Medularmente, el autor intenta dilucidar	las diferencias entre lo instintivo y lo planificado.	la naturaleza del trabajo exclusivamente humano.	el carácter pernicioso del trabajo en la actualidad.	la supremacía de la naturaleza frente a la humanidad.	las etapas que componen el proceso productivo.	B	El autor busca caracterizar el trabajo humano frente a lo instintivo, señala así que el trabajo humano está supeditado a un fin.
El trabajo es en primer término un proceso entre la naturaleza y el hombre, proceso en que este realiza, regula y controla mediante su propia acción su intercambio de materias con la naturaleza. En este proceso, el hombre se enfrenta como un poder natural con la materia de la naturaleza. Pone en acción las fuerzas naturales que forman su corporeidad, los brazos y las piernas, la cabeza y la mano, para de ese modo asimilarse, bajo una forma útil para su propia vida, las materias que la naturaleza le brinda. Y a la par que de ese modo actúa sobre la naturaleza exterior a él y la transforma, transforma su propia naturaleza, desarrollando las potencias que dormitan en él y sometiendo el juego de sus fuerzas a su propia disciplina. Aquí no vamos a ocuparnos de las primeras formas de trabajo, formas instintivas y de tipo animal. Aquí, partimos del supuesto del trabajo plasmado ya bajo una forma en la que pertenece exclusivamente al hombre. Una araña ejecuta operaciones que semejan a las manipulaciones del tejedor, y la construcción de los panales de las abejas podría avergonzar, por su perfección, a más de un maestro de obras. Pero, hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro. Al final del proceso de trabajo, brota un resultado que antes de comenzar el proceso existía ya en la mente del obrero; es decir, un resultado que tenía ya existencia ideal. El obrero no se limita a hacer cambiar de forma la materia que le brinda la naturaleza, sino que, al mismo tiempo, realiza en ella su fin, fin que él sabe que rige como una ley las modalidades de su actuación y al que tiene necesariamente que supeditar su voluntad. Y esta supeditación no constituye un acto aislado. Mientras permanezca trabajando, además de esforzar los órganos que trabajan, el obrero ha de aportar esa voluntad consciente del fin a que llamamos atención, atención que deberá ser tanto más reconcentrada cuanto menos atractivo sea el trabajo, por su carácter o por su ejecución, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.	En el texto, el término ASIMILARSE se puede reemplazar por	apropiarse.	amoldarse.	ajustarse.	compararse.	confrontarse.	A	Pone en acción las fuerzas naturales que forman su corporeidad para asimilar o apropiarse, bajo una forma útil para su propia vida, de las materias que la naturaleza le brinda.
El trabajo es en primer término un proceso entre la naturaleza y el hombre, proceso en que este realiza, regula y controla mediante su propia acción su intercambio de materias con la naturaleza. En este proceso, el hombre se enfrenta como un poder natural con la materia de la naturaleza. Pone en acción las fuerzas naturales que forman su corporeidad, los brazos y las piernas, la cabeza y la mano, para de ese modo asimilarse, bajo una forma útil para su propia vida, las materias que la naturaleza le brinda. Y a la par que de ese modo actúa sobre la naturaleza exterior a él y la transforma, transforma su propia naturaleza, desarrollando las potencias que dormitan en él y sometiendo el juego de sus fuerzas a su propia disciplina. Aquí no vamos a ocuparnos de las primeras formas de trabajo, formas instintivas y de tipo animal. Aquí, partimos del supuesto del trabajo plasmado ya bajo una forma en la que pertenece exclusivamente al hombre. Una araña ejecuta operaciones que semejan a las manipulaciones del tejedor, y la construcción de los panales de las abejas podría avergonzar, por su perfección, a más de un maestro de obras. Pero, hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro. Al final del proceso de trabajo, brota un resultado que antes de comenzar el proceso existía ya en la mente del obrero; es decir, un resultado que tenía ya existencia ideal. El obrero no se limita a hacer cambiar de forma la materia que le brinda la naturaleza, sino que, al mismo tiempo, realiza en ella su fin, fin que él sabe que rige como una ley las modalidades de su actuación y al que tiene necesariamente que supeditar su voluntad. Y esta supeditación no constituye un acto aislado. Mientras permanezca trabajando, además de esforzar los órganos que trabajan, el obrero ha de aportar esa voluntad consciente del fin a que llamamos atención, atención que deberá ser tanto más reconcentrada cuanto menos atractivo sea el trabajo, por su carácter o por su ejecución, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.	Si quisiéramos que una labor se desarrollara más fácilmente, se debería	atemorizar a los operarios.	pagar menos salarios.	automatizar el proceso.	esclavizar a los obreros.	motivar al trabajador.	E	La atención deberá ser más reconcentrada cuanto menos atractivo sea el trabajo, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.
El trabajo es en primer término un proceso entre la naturaleza y el hombre, proceso en que este realiza, regula y controla mediante su propia acción su intercambio de materias con la naturaleza. En este proceso, el hombre se enfrenta como un poder natural con la materia de la naturaleza. Pone en acción las fuerzas naturales que forman su corporeidad, los brazos y las piernas, la cabeza y la mano, para de ese modo asimilarse, bajo una forma útil para su propia vida, las materias que la naturaleza le brinda. Y a la par que de ese modo actúa sobre la naturaleza exterior a él y la transforma, transforma su propia naturaleza, desarrollando las potencias que dormitan en él y sometiendo el juego de sus fuerzas a su propia disciplina. Aquí no vamos a ocuparnos de las primeras formas de trabajo, formas instintivas y de tipo animal. Aquí, partimos del supuesto del trabajo plasmado ya bajo una forma en la que pertenece exclusivamente al hombre. Una araña ejecuta operaciones que semejan a las manipulaciones del tejedor, y la construcción de los panales de las abejas podría avergonzar, por su perfección, a más de un maestro de obras. Pero, hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro. Al final del proceso de trabajo, brota un resultado que antes de comenzar el proceso existía ya en la mente del obrero; es decir, un resultado que tenía ya existencia ideal. El obrero no se limita a hacer cambiar de forma la materia que le brinda la naturaleza, sino que, al mismo tiempo, realiza en ella su fin, fin que él sabe que rige como una ley las modalidades de su actuación y al que tiene necesariamente que supeditar su voluntad. Y esta supeditación no constituye un acto aislado. Mientras permanezca trabajando, además de esforzar los órganos que trabajan, el obrero ha de aportar esa voluntad consciente del fin a que llamamos atención, atención que deberá ser tanto más reconcentrada cuanto menos atractivo sea el trabajo, por su carácter o por su ejecución, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.	Se infiere que la acción humana aventaja a la animal en su carácter	planificado.	instintivo.	inmediato.	detallista.	vigoroso.	A	Hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro y tiene ya existencia ideal.
El trabajo es en primer término un proceso entre la naturaleza y el hombre, proceso en que este realiza, regula y controla mediante su propia acción su intercambio de materias con la naturaleza. En este proceso, el hombre se enfrenta como un poder natural con la materia de la naturaleza. Pone en acción las fuerzas naturales que forman su corporeidad, los brazos y las piernas, la cabeza y la mano, para de ese modo asimilarse, bajo una forma útil para su propia vida, las materias que la naturaleza le brinda. Y a la par que de ese modo actúa sobre la naturaleza exterior a él y la transforma, transforma su propia naturaleza, desarrollando las potencias que dormitan en él y sometiendo el juego de sus fuerzas a su propia disciplina. Aquí no vamos a ocuparnos de las primeras formas de trabajo, formas instintivas y de tipo animal. Aquí, partimos del supuesto del trabajo plasmado ya bajo una forma en la que pertenece exclusivamente al hombre. Una araña ejecuta operaciones que semejan a las manipulaciones del tejedor, y la construcción de los panales de las abejas podría avergonzar, por su perfección, a más de un maestro de obras. Pero, hay algo en que el peor maestro de obras aventaja, desde luego, a la mejor abeja, y es el hecho de que, antes de ejecutar la construcción, la proyecta en su cerebro. Al final del proceso de trabajo, brota un resultado que antes de comenzar el proceso existía ya en la mente del obrero; es decir, un resultado que tenía ya existencia ideal. El obrero no se limita a hacer cambiar de forma la materia que le brinda la naturaleza, sino que, al mismo tiempo, realiza en ella su fin, fin que él sabe que rige como una ley las modalidades de su actuación y al que tiene necesariamente que supeditar su voluntad. Y esta supeditación no constituye un acto aislado. Mientras permanezca trabajando, además de esforzar los órganos que trabajan, el obrero ha de aportar esa voluntad consciente del fin a que llamamos atención, atención que deberá ser tanto más reconcentrada cuanto menos atractivo sea el trabajo, por su carácter o por su ejecución, para quien lo realiza, es decir, cuanto menos disfrute de él el obrero como de un juego de sus fuerzas físicas y espirituales.	Resulta incompatible con el texto aseverar que el trabajo	es un proceso donde interactúan hombre y naturaleza.	en el caso humano, se supedita siempre a una finalidad.	implica siempre esfuerzo y desgaste de diversos órganos.	genera que una atención creciente y sostenida en la labor.	en el caso humano, puede darse a niveles inconscientes.	E	El obrero siempre aporta una voluntad consciente.
Hace unos meses, el conocido exjugador de la NBA Shaquille O’Neal nos sorprendió declarando que él creía que la Tierra era plana. Su argumento era tan simple como contundente. El deportista ha conducido muchas veces a través de Estados Unidos y lo había visto todo llano. El método científico se basa en hacer una observación, formular una hipótesis, hacer unos experimentos y, según el resultado, establecer leyes o plantear una nueva hipótesis. O’Neal hace un amago de utilizar este procedimiento, el problema es que se salta el paso de la experimentación y convierte la hipótesis en ley sin someterla a ninguna prueba. A veces pensamos que el viaje de Colón fue la demostración más clara de la forma esférica de nuestro planeta, algo que fue confirmado posteriormente por Magallanes y Elcano. Aunque este solo siguió la propuesta de la ruta a las Indias que había dejado escrita el astrónomo italiano Paolo dal Pozzo Toscanelli. Pero si en vez de cruzarse la llanura de Kansas en coche, salieran a la playa, en un día despejado, la estrella de la NBA y muchos de quienes resuelven que la Tierra es plana, verían que a medida que se aleja un barco en el horizonte lo primero que deja de verse es el casco, mientras que la parte superior se mantiene en el horizonte. Esto no tendría explicación si el mar fuera tan plano como aparenta, pero sí que la tiene si el mar está sobre una esfera. Los griegos lo sabían y también la midieron. Hoy, con un palo y una regla, cualquiera puede parar el coche en mitad de la llanura de Kansas el día del solsticio de verano a las 12:00 y medir la sombra. Si la medida no es cero, la Tierra no es plana, es esférica como una pelota de baloncesto.	Determine el tema central del texto 	La creencia en la pseudociencia de los terraplanistas	Las opiniones fundadas sobre la figura de la Tierra	La importancia de la certidumbre para los individuos	Las consecuencias perniciosas del escepticismo	--	A	En efecto, en el texto se presenta centralmente cómo el conocimiento certero es alcanzado mediante cuestionamientos constantes, asumidos por el propio individuo. Es decir, este actúa con rigor para conseguir un grado de certeza. 
Hace unos meses, el conocido exjugador de la NBA Shaquille O’Neal nos sorprendió declarando que él creía que la Tierra era plana. Su argumento era tan simple como contundente. El deportista ha conducido muchas veces a través de Estados Unidos y lo había visto todo llano. El método científico se basa en hacer una observación, formular una hipótesis, hacer unos experimentos y, según el resultado, establecer leyes o plantear una nueva hipótesis. O’Neal hace un amago de utilizar este procedimiento, el problema es que se salta el paso de la experimentación y convierte la hipótesis en ley sin someterla a ninguna prueba. A veces pensamos que el viaje de Colón fue la demostración más clara de la forma esférica de nuestro planeta, algo que fue confirmado posteriormente por Magallanes y Elcano. Aunque este solo siguió la propuesta de la ruta a las Indias que había dejado escrita el astrónomo italiano Paolo dal Pozzo Toscanelli. Pero si en vez de cruzarse la llanura de Kansas en coche, salieran a la playa, en un día despejado, la estrella de la NBA y muchos de quienes resuelven que la Tierra es plana, verían que a medida que se aleja un barco en el horizonte lo primero que deja de verse es el casco, mientras que la parte superior se mantiene en el horizonte. Esto no tendría explicación si el mar fuera tan plano como aparenta, pero sí que la tiene si el mar está sobre una esfera. Los griegos lo sabían y también la midieron. Hoy, con un palo y una regla, cualquiera puede parar el coche en mitad de la llanura de Kansas el día del solsticio de verano a las 12:00 y medir la sombra. Si la medida no es cero, la Tierra no es plana, es esférica como una pelota de baloncesto.	Tal como se emplea en el texto, el vocablo AMAGO connota	ciencia.	error.	método.	anuncio.	--	B	La palabra AMAGO se usa para referirse a la carencia de un método experimental objetivo en el procedimiento del basquetbolista, ya que este se salta varios pasos. En tanto que tal, el vocablo se asocia con el ERROR. 
Hace unos meses, el conocido exjugador de la NBA Shaquille O’Neal nos sorprendió declarando que él creía que la Tierra era plana. Su argumento era tan simple como contundente. El deportista ha conducido muchas veces a través de Estados Unidos y lo había visto todo llano. El método científico se basa en hacer una observación, formular una hipótesis, hacer unos experimentos y, según el resultado, establecer leyes o plantear una nueva hipótesis. O’Neal hace un amago de utilizar este procedimiento, el problema es que se salta el paso de la experimentación y convierte la hipótesis en ley sin someterla a ninguna prueba. A veces pensamos que el viaje de Colón fue la demostración más clara de la forma esférica de nuestro planeta, algo que fue confirmado posteriormente por Magallanes y Elcano. Aunque este solo siguió la propuesta de la ruta a las Indias que había dejado escrita el astrónomo italiano Paolo dal Pozzo Toscanelli. Pero si en vez de cruzarse la llanura de Kansas en coche, salieran a la playa, en un día despejado, la estrella de la NBA y muchos de quienes resuelven que la Tierra es plana, verían que a medida que se aleja un barco en el horizonte lo primero que deja de verse es el casco, mientras que la parte superior se mantiene en el horizonte. Esto no tendría explicación si el mar fuera tan plano como aparenta, pero sí que la tiene si el mar está sobre una esfera. Los griegos lo sabían y también la midieron. Hoy, con un palo y una regla, cualquiera puede parar el coche en mitad de la llanura de Kansas el día del solsticio de verano a las 12:00 y medir la sombra. Si la medida no es cero, la Tierra no es plana, es esférica como una pelota de baloncesto.	Es incompatible con el desarrollo del texto, acerca del razonamiento realizado por el famoso basquetbolista mencionado en el texto, afirmar que	se enmarca en un procedimiento simple y muy diferente al trabajo de la teoría científica.	condujo a que este plantee una propuesta superada hace muchos siglos atrás por los griegos.	constituye una prueba evidente de que la ciencia estándar puede incurrir en un error grave.	es una muestra de que las propuestas más absurdas pueden ser asumidas en la actualidad.	--	C	En el texto se indica que los procedimientos intuitivos de Shaquille O’Neal están alejados de la práctica científica real, pues este se ha saltado varios pasos. 
Aunque se escandalicen los adoradores de mitos i de fraseolojías tradicionales, conviene prescindir de cuestiones sobre fundamentos del Estado i principios del Gobierno i repetir con un verdadero pensador':' cualquier Gobierno, con la mayor suma de garantías individuales i lo menos posible de acción administrativa. Al comparar las garantías que el súbdito inglés disfruta en la Gran Bretaña con las vejaciones que el ciudadano sufre en el Perú, se comprende que las formas de Gobierno nada o mui poco significan para la libertad del individuo. ¿Qué vale más':' habitar en una autocracia rejida por un Marco Aurelio o en una república gobernada por un Cáceres o un Piérola? Hai que mostrar al pueblo el horror de su envilecimiento i de su miseria; nunca se verificó escelente autopsia sin despedazar el cadáver, ni se conoció a fondo una sociedad sin descarnar su esqueleto. ¿Por qué asustarse o escandalizarse? Cuanto se diga ¿no lo palpan nacionales i estranjeros? La lepra no se cura escondiéndola con guante blanco. Pero de nada serviría revolcar siempre a la Nación en su propio lodo i enconarla noche i día sus llagas, si al mismo tiempo no se levanta el espíritu de las muchedumbres que rastrean en la costa, si no se sacude con rudeza brutal a esos hombres soñolientos que perdurablemente cabecean en las faldas de la Gran Cordillera, si no se da continuas descargas eléctricas al organismo amenazado de parálisis. Se necesita herir i punzar a las multitudes, no por el malévolo prurito de ofenderlas i exasperarlas, sino por el jeneroso deseo de estimularlas para el bien i enardecer el coraje para l'acción. Nada temamos que mui pocos oigan i entiendan; cuando vibra una voz sincera i franca, los mas ignorantes paran el oído i escuchan. Lo que se toma por insuficiencia de las masas para comprender las ideas, debe llamarse impotencia del escritor para darse a entender. Si el tecnicismo i las demostraciones particulares de la Ciencia figuran como letra muerta para el ignorante o no iniciado, las conclusiones capitales ofrecen tanta claridad i sencillez que las entienden los cerebros de instrucción más rudimentaria. ¿Se requiere haber estudiado a fondo la Astronomía para comprender que la Tierra se mueve al rededor del Sol? ¿Se requiere haber estudiado a fondo Historia Natural para comprender que entre el hombre i los animales superiores no median diferencias inesplicables? ¿Se requiere haber estudiado a fondo sociología para comprender que la personalidad humana es sagrada i que todos poseen derecho a su parte de aire, de luz i de vida?	Es el mejor resumen del texto.	En sociedades con una organización política conservadora y tradicional existe muchas veces un respeto por los derechos y la libertad del ciudadano superior al de nuestras democracias.	Es necesario utilizar un lenguaje descarnado y brutal para hacerle ver al pueblo toda la miseria de nuestra situación y hacer que reaccione en contra de los malos gobernantes.	No es la ignorancia de los sectores empobrecidos de nuestra sociedad la que hace que estos no puedan comprender las ideas de renovación social, sino la incapacidad de los intelectuales.	Más allá de cuestiones principistas, hay que mostrarle al pueblo las miserias de nuestra realidad política y social de manera clara y directa para que este sea impelido a la acción rectificadora.	No es necesario comprender a profundidad las leyes de las diferentes ciencias modernas para entender claramente la situación de postración social y moral que vive nuestro país.	D	La alternativa contiene las ideas principales del texto: la necesidad de mostrar la verdadera situación de nuestra sociedad como forma de impulsar el cambio en la misma.
Aunque se escandalicen los adoradores de mitos i de fraseolojías tradicionales, conviene prescindir de cuestiones sobre fundamentos del Estado i principios del Gobierno i repetir con un verdadero pensador':' cualquier Gobierno, con la mayor suma de garantías individuales i lo menos posible de acción administrativa. Al comparar las garantías que el súbdito inglés disfruta en la Gran Bretaña con las vejaciones que el ciudadano sufre en el Perú, se comprende que las formas de Gobierno nada o mui poco significan para la libertad del individuo. ¿Qué vale más':' habitar en una autocracia rejida por un Marco Aurelio o en una república gobernada por un Cáceres o un Piérola? Hai que mostrar al pueblo el horror de su envilecimiento i de su miseria; nunca se verificó escelente autopsia sin despedazar el cadáver, ni se conoció a fondo una sociedad sin descarnar su esqueleto. ¿Por qué asustarse o escandalizarse? Cuanto se diga ¿no lo palpan nacionales i estranjeros? La lepra no se cura escondiéndola con guante blanco. Pero de nada serviría revolcar siempre a la Nación en su propio lodo i enconarla noche i día sus llagas, si al mismo tiempo no se levanta el espíritu de las muchedumbres que rastrean en la costa, si no se sacude con rudeza brutal a esos hombres soñolientos que perdurablemente cabecean en las faldas de la Gran Cordillera, si no se da continuas descargas eléctricas al organismo amenazado de parálisis. Se necesita herir i punzar a las multitudes, no por el malévolo prurito de ofenderlas i exasperarlas, sino por el jeneroso deseo de estimularlas para el bien i enardecer el coraje para l'acción. Nada temamos que mui pocos oigan i entiendan; cuando vibra una voz sincera i franca, los mas ignorantes paran el oído i escuchan. Lo que se toma por insuficiencia de las masas para comprender las ideas, debe llamarse impotencia del escritor para darse a entender. Si el tecnicismo i las demostraciones particulares de la Ciencia figuran como letra muerta para el ignorante o no iniciado, las conclusiones capitales ofrecen tanta claridad i sencillez que las entienden los cerebros de instrucción más rudimentaria. ¿Se requiere haber estudiado a fondo la Astronomía para comprender que la Tierra se mueve al rededor del Sol? ¿Se requiere haber estudiado a fondo Historia Natural para comprender que entre el hombre i los animales superiores no median diferencias inesplicables? ¿Se requiere haber estudiado a fondo sociología para comprender que la personalidad humana es sagrada i que todos poseen derecho a su parte de aire, de luz i de vida?	El verbo CABECEAR en el tercer párrafo connota.	sueño.	indolencia.	pasmo.	incredulidad.	preocupación.	B	La palabra CABECEAR alude de manera metafórica a la actitud de permanecer indiferentes a lo que sucede alrededor, de ahí la necesidad de “sacudir” de “reanimar” con “descargas eléctricas” a ciertos sectores sociales para movilizarlos.
